Concept name,Alternative Concept name,Scope or Descriptive Note,Broader Concept Name
Ferrymen,Ferry workers,Persons who operate ferries across waterways.,"Waterway transport of enslaved persons related CPF
Waterway vessel operators"
Ferry owners (enslaved transport vessel),,CPF who own ferries.,"Waterway transport of enslaved persons related CPF
Waterway vessel owners"
Waterway vessel users,,Persons who use waterway vessels.,Waterway transport of enslaved persons related CPF
Waterway vessel operators,,Persons who operate waterway vessels.,Waterway transport of enslaved persons related CPF
Waterway vessel owners,,Persons who owns waterway vessels.,Waterway transport of enslaved persons related CPF
Captives on slave ships/boats,,Captives/enslaved persons transported on ships/boats.,Waterway transport of enslaved persons related CPF
Slave ships/boats,,Ship/boats used to transport enslaved persons.,Waterway transport of enslaved persons related CPF
Slave ship/boat captains,,Captains of ships/boats used for transporting enslaved persons.,Waterway transport of enslaved persons related CPF
Slave ship/boat owners,,CPF who own ships/boats used for transporting enslaved persons.,Waterway transport of enslaved persons related CPF
Slave ship/boat crew members,,Persons who are members of the crew on slave ships/boats.,Waterway transport of enslaved persons related CPF
Underground railroad related CPF,,,Slavery era related CPF
Underground railroad,Underground Railroad ,Cooperative organizations used prior to emancipation to help fugitive enslaved persons escape to the North or Canada.,Underground railroad related CPF
Underground railroad agents,,Agents who facilitated the escape of enslaved persons and helped to connect them to the Underground Railroad.,Underground railroad related CPF
Underground railroad conductors,,Persons who helped lead escaping enslaved persons on the Underground Railroad.,Underground railroad related CPF
Underground railroad passengers,Underground railroad cargos; Underground railroad fleeces; Underground railroad freights,Escaping enslaved persons via the Underground Railroad.,Underground railroad related CPF
Underground railroad stations,Underground railroad depots; Underground railroad safe houses,Places or stops on the Underground Railroad where escaping enslaved persons could safely hide.,Underground railroad related CPF
Underground railroad station masters,,Persons who managed stations/hiding places/stops on the Underground Railroad.,Underground railroad related CPF
Exploration associated CPF,,CPF associated with exploration.,Slavery era related CPF
Election related CPF,,CPF associated with elections.,Slavery era related CPF
Voters,,Persons who vote.,Election related CPF
Election officials,,Persons who are election officials.,Election related CPF
Electees,,Persons who are elected.,Election related CPF
Electors,,Persons with rights to vote in elections.,Election related CPF
Campaign related CPF,,CPF involved with campaigns.,Election related CPF
Voter registration related CPF,,CPF involved with voter registrations.,Election related CPF
Politicians,,Persons actively involved in politics who may also be candidates for political offices.,Election related CPF
Freedmen town and settlement related CPF,,,Slavery era related CPF
Freedmen town and settlement leaders,,,"Slavery era related CPF
Freedmen town and settlement related CPF
"
Freedmen town and settlement members,,,"Slavery era related CPF
Freedmen town and settlement related CPF
"
Freedmen town and settlement corporate bodies,,,"Slavery era related CPF
Freedmen town and settlement related CPF
"
Legislators (freedmen),Freedmen legislators,,Slavery era related CPF
Law or legal associated persons,,Persons who are associated with the law or legal cases.,Slavery era related CPF
African American churches related CPF,,,Slavery era related CPF
