NMAI ARK,NMAI Internal EMu ID,Term,Scope Note,Used for,Language Notes,Entire Tree,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
http://n2t.net/ark:/65665/sz8bb0bec58-d915-48be-8682-01c7b0dcb579,NMAICulture_538,Algonquin [Abitibiwinn/Abitibi Lake],,,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Algonquin [Abitibiwinn/Abitibi Lake],North America,Woodlands,Northeast,Algonquin (Algonkin),Algonquin [Abitibiwinn/Abitibi Lake],,
http://n2t.net/ark:/65665/sz895926a0b-cc3a-476b-8bd3-d45b618a6476,NMAICulture_946,Algonquin [Golden Lake/Pikwàkanagàn First Nation],,Golden Lake Algonquin; Pikwakanagan,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Algonquin [Golden Lake/Pikwàkanagàn First Nation],North America,Woodlands,Northeast,Algonquin (Algonkin),Algonquin [Golden Lake/Pikwàkanagàn First Nation],,
http://n2t.net/ark:/65665/sz88e34e65c-1fe9-4344-ba45-802a2dd5fdcb,NMAICulture_539,Algonquin [Kipawa],,Eagle Village First Nation,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Algonquin [Kipawa],North America,Woodlands,Northeast,Algonquin (Algonkin),Algonquin [Kipawa],,
http://n2t.net/ark:/65665/sz88e6ea2bb-39b1-474f-9fc5-3d6f7558ddf6,NMAICulture_540,Algonquin [Kitcisakik/Grand-Lac Victoria],,Kitcisagi ; Grand Lake Victoria,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Algonquin [Kitcisakik/Grand-Lac Victoria],North America,Woodlands,Northeast,Algonquin (Algonkin),Algonquin [Kitcisakik/Grand-Lac Victoria],,
http://n2t.net/ark:/65665/sz8752a276b-8067-4699-ad2f-cc20c4bd7791,NMAICulture_541,Algonquin [Lac Barriere/Barriere Lake],,Rapid Lake,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Algonquin [Lac Barriere/Barriere Lake],North America,Woodlands,Northeast,Algonquin (Algonkin),Algonquin [Lac Barriere/Barriere Lake],,
http://n2t.net/ark:/65665/sz8534bfff1-d013-43be-b58e-f27ce6b17754,NMAICulture_1515,"Algonquin [Oka, Quebec]",,,Language Family info:  Algic/Algonquian/Central/Ojibwa,"North America - Woodlands - Northeast - Algonquin (Algonkin) - Algonquin [Oka, Quebec]",North America,Woodlands,Northeast,Algonquin (Algonkin),"Algonquin [Oka, Quebec]",,
http://n2t.net/ark:/65665/sz8a043b7db-e271-4656-a902-7da33eafb155,NMAICulture_712,Kitigan Zibi Anishinabeg (Maniwaki Algonquin) [River Desert],,Mainwawaki; Mainwaki; Desert River,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Kitigan Zibi Anishinabeg (Maniwaki Algonquin) [River Desert],North America,Woodlands,Northeast,Algonquin (Algonkin),Kitigan Zibi Anishinabeg (Maniwaki Algonquin) [River Desert],,
http://n2t.net/ark:/65665/sz800c63a42-0c06-4390-870d-003665523235,NMAICulture_749,Nipissing Algonquin,,,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Nipissing Algonquin,North America,Woodlands,Northeast,Algonquin (Algonkin),Nipissing Algonquin,,
http://n2t.net/ark:/65665/sz855851b50-61ac-4b49-875e-bd6fbb14414a,NMAICulture_913,Weskarini Algonquin [River Lievre/Rivière du Lièvre],,,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin) - Weskarini Algonquin [River Lievre/Rivière du Lièvre],North America,Woodlands,Northeast,Algonquin (Algonkin),Weskarini Algonquin [River Lievre/Rivière du Lièvre],,
http://n2t.net/ark:/65665/sz862d538fc-99b5-4ad1-8b73-18879e685ac9,NMAICulture_112,Algonquin (Algonkin),,Algonquin,Language Family info:  Algic/Algonquian/Central/Ojibwa,North America - Woodlands - Northeast - Algonquin (Algonkin),North America,Woodlands,Northeast,Algonquin (Algonkin),,,
http://n2t.net/ark:/65665/sz855b4a3c3-3210-4a1e-a574-e91098612169,NMAICulture_2768,Early Archaic Tradition (archaeological culture),,,,North America - Woodlands - Northeast - Archaic Tradition (archaeological culture) - Early Archaic Tradition (archaeological culture),North America,Woodlands,Northeast,Archaic Tradition (archaeological culture),Early Archaic Tradition (archaeological culture),,
